"Aseua3","Aseua5","Lifespan","RightTarsus","BodyMass","HeadBill","WingLength","dROMsAssay","dROMsAbs505nm","dROMsAbs546nm","dROMsCARRU505nm","dROMsCARRU546nm","natalTQ","dROMs505mMolH2O2","dROMs546mMolH2O2","Froh_imp","OXYabs505nm","OXYabs546nm","OXYmMolHClO505nm","OXYmMolHClO546nm","SexEstimate","FatherAge","MotherAge","ParentLifespan_1","ParentLifespan_0"
1,0,13,26.4,16.5,37.2,68,2,0.976,0.565,70.326,29.984,3035.34,1.688,0.72,0.10962491,0.475,0.554,165.738,167.611,1,2057,1633.07949125596,12.227397260274,8.48949319589493
1,0,13,26.6,13.9,37.2,69,2,0.976,0.565,70.326,29.984,3035.34,1.688,0.72,0.10962491,0.475,0.554,165.738,167.611,1,2057,1633.07949125596,12.227397260274,8.48949319589493
1,0,13,26.3,15.8,37.4,69,2,0.976,0.565,70.326,29.984,3035.34,1.688,0.72,0.10962491,0.475,0.554,165.738,167.611,1,2057,1633.07949125596,12.227397260274,8.48949319589493
1,1,10,24.5,15.2,36.8,67,17,0.814,0.644,52.626,35.329,8964.88,1.263,0.848,0.110165607,0.276,0.319,152.206,154.338,0,1816.33935585232,618,9.00320530038499,4.05205479452055
1,1,10,24.3,15.3,37,68,17,0.814,0.644,52.626,35.329,8964.88,1.263,0.848,0.110165607,0.276,0.319,152.206,154.338,0,1816.33935585232,618,9.00320530038499,4.05205479452055
1,1,10,24.6,15.1,36.2,66,17,0.814,0.644,52.626,35.329,8964.88,1.263,0.848,0.110165607,0.276,0.319,152.206,154.338,0,1816.33935585232,618,9.00320530038499,4.05205479452055
1,1,10,26.2,15.5,35.9,70,17,0.814,0.644,52.626,35.329,8964.88,1.263,0.848,0.110165607,0.276,0.319,152.206,154.338,0,1816.33935585232,618,9.00320530038499,4.05205479452055
1,1,10,24.5,16.2,36.4,69,17,0.814,0.644,52.626,35.329,8964.88,1.263,0.848,0.110165607,0.276,0.319,152.206,154.338,0,1816.33935585232,618,9.00320530038499,4.05205479452055
1,1,10,24.7,15.2,36.4,70,17,0.814,0.644,52.626,35.329,8964.88,1.263,0.848,0.110165607,0.276,0.319,152.206,154.338,0,1816.33935585232,618,9.00320530038499,4.05205479452055
1,1,10,24.2,14.5,36.5,70,17,0.814,0.644,52.626,35.329,8964.88,1.263,0.848,0.110165607,0.276,0.319,152.206,154.338,0,1816.33935585232,618,9.00320530038499,4.05205479452055
1,1,6,23.8,15.9,35.8,66,28,1.547,1.221,122.018,84.949,10947.55,2.928,2.039,0.144095708,0.27,0.296,163.19,165,0,1816.33935585232,1140,9.00320530038499,8.42191780821918
1,1,6,23.2,14.5,36.2,65,28,1.547,1.221,122.018,84.949,10947.55,2.928,2.039,0.144095708,0.27,0.296,163.19,165,0,1816.33935585232,1140,9.00320530038499,8.42191780821918
1,1,6,23.1,14,36.3,65,28,1.547,1.221,122.018,84.949,10947.55,2.928,2.039,0.144095708,0.27,0.296,163.19,165,0,1816.33935585232,1140,9.00320530038499,8.42191780821918
1,1,6,23.4,13.5,36.3,65,28,1.547,1.221,122.018,84.949,10947.55,2.928,2.039,0.144095708,0.27,0.296,163.19,165,0,1816.33935585232,1140,9.00320530038499,8.42191780821918
1,0,7,24.5,14.8,35.9,67,35,1.0885,0.805,92.86448,56.75932,7702.13,2.228747,1.362224,0.094434078,0.766,0.844,116.5572,117.5734,0,1816.33935585232,515,9.00320530038499,9.72876712328767
1,0,7,24.2,14.1,35.6,66.5,35,1.0885,0.805,92.86448,56.75932,7702.13,2.228747,1.362224,0.094434078,0.766,0.844,116.5572,117.5734,0,1816.33935585232,515,9.00320530038499,9.72876712328767
1,0,7,24.3,14.8,36,66,35,1.0885,0.805,92.86448,56.75932,7702.13,2.228747,1.362224,0.094434078,0.766,0.844,116.5572,117.5734,0,1816.33935585232,515,9.00320530038499,9.72876712328767
1,0,7,24.2,15,36.1,66,35,1.0885,0.805,92.86448,56.75932,7702.13,2.228747,1.362224,0.094434078,0.766,0.844,116.5572,117.5734,0,1816.33935585232,515,9.00320530038499,9.72876712328767
1,1,13,25.5,17.1,37.1,70,11,1.051,0.748,76.419,42.93,16497.08,1.834,1.03,0.107063473,0.829,0.958,122.989,123.931,1,1624,1633.07949125596,5.41917808219178,8.48949319589493
1,1,13,25.7,17.3,37.5,69,11,1.051,0.748,76.419,42.93,16497.08,1.834,1.03,0.107063473,0.829,0.958,122.989,123.931,1,1624,1633.07949125596,5.41917808219178,8.48949319589493
1,1,13,25.4,16.7,37.1,70,11,1.051,0.748,76.419,42.93,16497.08,1.834,1.03,0.107063473,0.829,0.958,122.989,123.931,1,1624,1633.07949125596,5.41917808219178,8.48949319589493
1,1,13,25.8,16.5,36.2,69,11,1.051,0.748,76.419,42.93,16497.08,1.834,1.03,0.107063473,0.829,0.958,122.989,123.931,1,1624,1633.07949125596,5.41917808219178,8.48949319589493
1,1,13,25.9,17.3,37.2,70,11,1.051,0.748,76.419,42.93,16497.08,1.834,1.03,0.107063473,0.829,0.958,122.989,123.931,1,1624,1633.07949125596,5.41917808219178,8.48949319589493
1,1,13,26.6,16.1,37.6,69,11,1.051,0.748,76.419,42.93,16497.08,1.834,1.03,0.107063473,0.829,0.958,122.989,123.931,1,1624,1633.07949125596,5.41917808219178,8.48949319589493
1,1,13,25.5,16.9,37.3,71,11,1.051,0.748,76.419,42.93,16497.08,1.834,1.03,0.107063473,0.829,0.958,122.989,123.931,1,1624,1633.07949125596,5.41917808219178,8.48949319589493
1,0,10,24.2,15.4,36,66,20,0.716,0.538,47.511,20.665,12027.24,1.14,0.496,0.094421248,0.361,0.398,149.908,150.617,0,1579,512,10.0602739726027,8.18356164383562
1,0,10,24.1,14.8,35,64.5,20,0.716,0.538,47.511,20.665,12027.24,1.14,0.496,0.094421248,0.361,0.398,149.908,150.617,0,1579,512,10.0602739726027,8.18356164383562
1,0,10,24.0333333333333,15.1333333333333,35.4333333333333,64.8333333333333,20,0.716,0.538,47.511,20.665,12027.24,1.14,0.496,0.094421248,0.361,0.398,149.908,150.617,0,1579,512,10.0602739726027,8.18356164383562
1,0,10,23.8,15.2,35.3,64,20,0.716,0.538,47.511,20.665,12027.24,1.14,0.496,0.094421248,0.361,0.398,149.908,150.617,0,1579,512,10.0602739726027,8.18356164383562
1,0,3,24,15.1,36.5,64,2,0.824,0.522,57.047,26.509,7735.94,1.369,0.636,0.138491706,0.651,0.757,133.255,134.481,0,625,1633.07949125596,7.15342465753425,8.48949319589493
1,0,3,24.1,15.2,35.9,64,2,0.824,0.522,57.047,26.509,7735.94,1.369,0.636,0.138491706,0.651,0.757,133.255,134.481,0,625,1633.07949125596,7.15342465753425,8.48949319589493
1,0,7,26.2,16.6,37.1,68,35,2.513,2.31,191.0745,159.3952,29498.92,4.585789,3.825486,0.112816854,0.508,0.551,151.0827,153.9503,1,1816.33935585232,1696,9.00320530038499,7.48219178082192
1,0,7,26,16.8,37,69,35,2.513,2.31,191.0745,159.3952,29498.92,4.585789,3.825486,0.112816854,0.508,0.551,151.0827,153.9503,1,1816.33935585232,1696,9.00320530038499,7.48219178082192
