BirdID	PHt	Hs_obs	Hs_exp	IR	HL
4257	0.565217391	1.203721898	1.188280358	-0.17525702	0.433340129
4258	0.476190476	0.97437133	0.960512934	-0.002111965	0.494401952
4259	0.7	1.467800112	1.445678475	-0.418015941	0.247769561
4260	0.5	0.987899124	0.9773289	0.004509863	0.462189418
4261	0.464285714	0.958713629	0.946909953	0.063642302	0.50786057
4262	0.642857143	1.32744964	1.311106089	-0.271399475	0.294620206
4266	0.518518519	1.0623762	1.049477704	-0.033714602	0.424449585
4431	0.571428571	1.179955236	1.165427634	-0.095435091	0.401091633
4802	0.642857143	1.32744964	1.311106089	-0.263015746	0.310330688
4803	0.321428571	0.66372482	0.655553044	0.273113155	0.629988249
4804	0.464285714	0.958713629	0.946909953	0.054023307	0.511083333
4805	0.535714286	1.106208034	1.092588407	-0.116829196	0.399613466
4806	0.571428571	1.179955236	1.165427634	-0.136668848	0.373653207
4808	0.535714286	1.106208034	1.092588407	0.00400913	0.422357798
4809	0.571428571	1.179955236	1.165427634	-0.176694418	0.339889756
4810	0.642857143	1.32744964	1.311106089	-0.190703579	0.343011162
4812	0.464285714	0.958713629	0.946909953	-0.011341717	0.475774877
4813	0.607142857	1.253702438	1.238266862	-0.137398403	0.372316642
4817	0.464285714	0.958713629	0.946909953	0.014010851	0.485726435
4820	0.5	1.032460831	1.01974918	-0.016990125	0.437799032
4821	0.5	1.032460831	1.01974918	-0.067146303	0.473383835
4822	0.5	1.032460831	1.01974918	0.090553099	0.456877997
4823	0.535714286	1.106208034	1.092588407	-0.059553546	0.40150365
4824	0.5	1.032460831	1.01974918	0.025748898	0.445186715
4825	0.5	1.032460831	1.01974918	-0.065813765	0.406435326
4826	0.464285714	0.958713629	0.946909953	0.095973886	0.5115059
4827	0.535714286	1.106208034	1.092588407	-0.044098593	0.424816392
4828	0.607142857	1.253702438	1.238266862	-0.205779192	0.341277856
4829	0.5	1.032460831	1.01974918	-0.003173067	0.45401916
4830	0.5	1.032460831	1.01974918	-0.029505867	0.468498056
4831	0.642857143	1.32744964	1.311106089	-0.204314765	0.307623919
4832	0.607142857	1.253702438	1.238266862	-0.180132919	0.33399329
4833	0.464285714	0.958713629	0.946909953	0.018880371	0.505613589
4834	0.357142857	0.737472022	0.728392272	0.284532637	0.598081182
4837	0.5	1.032460831	1.01974918	0.022617411	0.442920236
4838	0.535714286	1.106208034	1.092588407	0.010755517	0.427237952
4840	0.5	1.032460831	1.01974918	-0.039549146	0.437921935
4845	0.321428571	0.66372482	0.655553044	0.381256104	0.636080499
4846	0.464285714	0.958713629	0.946909953	0.052792476	0.462483849
4847	0.357142857	0.737472022	0.728392272	0.22194753	0.609775213
4848	0.642857143	1.32744964	1.311106089	-0.247347555	0.324812678
4852	0.642857143	1.32744964	1.311106089	-0.359339092	0.30126215
4853	0.5	1.032460831	1.01974918	-0.038898734	0.441816228
4854	0.5	1.032460831	1.01974918	-0.04567723	0.460155512
4855	0.571428571	1.179955236	1.165427634	-0.178538617	0.39334151
4856	0.392857143	0.811219225	0.801231499	0.172439959	0.570659911
4857	0.5	1.032460831	1.01974918	-0.027335451	0.456614727
4858	0.5	1.032460831	1.01974918	0.018072936	0.419986953
4859	0.428571429	0.884966427	0.874070726	0.10282447	0.529182393
4860	0.5	1.032460831	1.01974918	-0.000895294	0.455155135
4861	0.428571429	0.884966427	0.874070726	0.070065886	0.562014741
4862	0.285714286	0.589977618	0.582713817	0.350744086	0.713548585
4863	0.607142857	1.253702438	1.238266862	-0.212690707	0.313893194
4864	0.571428571	1.179955236	1.165427634	-0.095674112	0.400214544
4865	0.25	0.516230416	0.50987459	0.493100348	0.713676022
4866	0.357142857	0.737472022	0.728392272	0.234443734	0.591666816
4867	0.535714286	1.106208034	1.092588407	-0.011474119	0.396569734
4868	0.607142857	1.253702438	1.238266862	-0.204821276	0.332537322
4869	0.392857143	0.811219225	0.801231499	0.217550123	0.559701686
4870	0.428571429	0.884966427	0.874070726	0.061604786	0.481115982
4871	0.535714286	1.106208034	1.092588407	-0.1328042	0.392188579
4872	0.464285714	0.958713629	0.946909953	-0.055288846	0.46590005
4873	0.5	1.032460831	1.01974918	0.002712166	0.470745711
4874	0.464285714	0.958713629	0.946909953	0.005231268	0.472766439
4875	0.5	1.032460831	1.01974918	-0.007395887	0.436509716
4876	0.535714286	1.106208034	1.092588407	-0.081077182	0.419022443
4877	0.464285714	0.958713629	0.946909953	0.126970482	0.479724203
4878	0.5	1.032460831	1.01974918	0.020299544	0.437015222
4879	0.464285714	0.958713629	0.946909953	0.009007666	0.459924807
4880	0.464285714	0.958713629	0.946909953	0.016963502	0.494276989
4881	0.357142857	0.737472022	0.728392272	0.210277919	0.601265788
4882	0.5	1.032460831	1.01974918	-0.028349189	0.458772548
4883	0.535714286	1.106208034	1.092588407	-0.02340594	0.458373708
4884	0.607142857	1.253702438	1.238266862	-0.219516117	0.368119303
4885	0.571428571	1.179955236	1.165427634	-0.131518701	0.356975661
4886	0.5	1.032460831	1.01974918	-0.029471465	0.425155185
4887	0.535714286	1.106208034	1.092588407	-0.073485319	0.425297151
4888	0.428571429	0.884966427	0.874070726	0.124026814	0.501948188
4889	0.535714286	1.106208034	1.092588407	-0.121231172	0.418998399
4890	0.5	1.032460831	1.01974918	-0.11468566	0.430247973
4891	0.285714286	0.589977618	0.582713817	0.392503445	0.656937663
4892	0.321428571	0.66372482	0.655553044	0.307953878	0.67722978
4893	0.714285714	1.474944045	1.456784543	-0.411544739	0.245534478
4894	0.464285714	0.958713629	0.946909953	0.016841355	0.488556343
4895	0.392857143	0.811219225	0.801231499	0.166652733	0.54735694
4896	0.5	1.032460831	1.01974918	-0.033788639	0.421346869
4897	0.642857143	1.32744964	1.311106089	-0.296907586	0.285383715
4898	0.357142857	0.737472022	0.728392272	0.21984203	0.567133008
4899	0.25	0.516230416	0.50987459	0.443187123	0.721536922
4900	0.5	1.032460831	1.01974918	0.000871735	0.477764698
4901	0.357142857	0.737472022	0.728392272	0.277660517	0.589633041
4902	0.607142857	1.253702438	1.238266862	-0.179606303	0.338977555
4903	0.535714286	1.106208034	1.092588407	-0.110838112	0.3777186
4904	0.5	1.032460831	1.01974918	-0.025299164	0.444801459
4905	0.5	1.032460831	1.01974918	-0.011218742	0.431339089
4906	0.428571429	0.884966427	0.874070726	0.077732828	0.500770212
4907	0.321428571	0.66372482	0.655553044	0.297987069	0.642899393
4908	0.464285714	0.958713629	0.946909953	0.075281305	0.52079118
4909	0.607142857	1.253702438	1.238266862	-0.248044216	0.329392909
4910	0.464285714	0.958713629	0.946909953	0.039039023	0.470174124
4911	0.285714286	0.589977618	0.582713817	0.397467773	0.673325621
4912	0.392857143	0.811219225	0.801231499	0.176255724	0.543606995
4913	0.428571429	0.884966427	0.874070726	0.10413097	0.500031803
4914	0.392857143	0.811219225	0.801231499	0.134650912	0.539886582
4915	0.428571429	0.884966427	0.874070726	0.049886361	0.474325552
4916	0.321428571	0.66372482	0.655553044	0.282109665	0.621115998
4917	0.5	1.032460831	1.01974918	-0.023895852	0.455160041
4918	0.607142857	1.253702438	1.238266862	-0.264015832	0.329124506
4919	0.392857143	0.811219225	0.801231499	0.193277906	0.56175513
4923	0.357142857	0.737472022	0.728392272	0.237484781	0.595642797
4933	0.5	1.032460831	1.01974918	0.03047713	0.513171043
4934	0.535714286	1.106208034	1.092588407	0.055988201	0.48181503
4935	0.392857143	0.811219225	0.801231499	0.187395392	0.605030867
4936	0.535714286	1.106208034	1.092588407	-0.0859038	0.42381336
4937	0.428571429	0.884966427	0.874070726	0.151918461	0.570540561
4938	0.678571429	1.401196843	1.383945316	-0.374750768	0.244553394
4939	0.285714286	0.589977618	0.582713817	0.415679135	0.715856438
4940	0.428571429	0.884966427	0.874070726	0.171498699	0.546426858
4941	0.5	1.032460831	1.01974918	-0.020546348	0.421706455
4942	0.5	1.032460831	1.01974918	-0.002786861	0.4277067
4943	0.607142857	1.253702438	1.238266862	-0.165294977	0.366979675
4944	0.357142857	0.737472022	0.728392272	0.257538583	0.584588799
4945	0.357142857	0.737472022	0.728392272	0.183820285	0.578907629
4946	0.392857143	0.811219225	0.801231499	0.212945158	0.543131173
4947	0.428571429	0.884966427	0.874070726	0.102951231	0.538908519
4948	0.5	1.032460831	1.01974918	-0.097542439	0.433727837
4949	0.464285714	0.958713629	0.946909953	0.060259698	0.491799116
4950	0.607142857	1.253702438	1.238266862	-0.211578249	0.329607283
4951	0.428571429	0.884966427	0.874070726	0.100981862	0.504623026
4952	0.392857143	0.811219225	0.801231499	0.16419627	0.566858184
4953	0.321428571	0.66372482	0.655553044	0.337648077	0.647633746
4954	0.535714286	1.106208034	1.092588407	-0.149826381	0.358290592
4955	0.428571429	0.884966427	0.874070726	0.089388627	0.50094861
4956	0.392857143	0.811219225	0.801231499	0.21974021	0.560767633
4957	0.392857143	0.811219225	0.801231499	0.21599234	0.581259494
4958	0.464285714	0.958713629	0.946909953	0.020329597	0.45706344
4959	0.464285714	0.958713629	0.946909953	0.055148916	0.494718156
4960	0.464285714	0.958713629	0.946909953	0.044219556	0.489568293
4961	0.607142857	1.253702438	1.238266862	-0.247119871	0.333438443
4962	0.428571429	0.884966427	0.874070726	0.120287466	0.559683239
4963	0.571428571	1.179955236	1.165427634	-0.123711425	0.418372092
4964	0.535714286	1.106208034	1.092588407	-0.12947791	0.388603927
4965	0.535714286	1.106208034	1.092588407	-0.0924523	0.372652799
4966	0.464285714	0.958713629	0.946909953	0.0657864	0.489956259
4967	0.607142857	1.253702438	1.238266862	-0.131784649	0.357525937
4968	0.607142857	1.253702438	1.238266862	-0.191561882	0.353314884
4969	0.392857143	0.811219225	0.801231499	0.188815576	0.544320801
4970	0.321428571	0.66372482	0.655553044	0.341501011	0.632797012
4971	0.571428571	1.179955236	1.165427634	-0.148261328	0.426954306
4972	0.607142857	1.253702438	1.238266862	-0.224959899	0.358414891
4973	0.428571429	0.884966427	0.874070726	0.082886704	0.491641371
4974	0.571428571	1.179955236	1.165427634	-0.112719561	0.396108035
4999	0.321428571	0.66372482	0.655553044	0.366505953	0.618470002
